一级方向,二级分类,三级赛道,市值规模,标的名称,代码,入选说明,政策契合度,投资确定性
半导体国产化,晶圆制造,成熟制程,大,中芯国际,688981,"国内晶圆代工绝对龙头,14nm量产+成熟制程产能全球扩张",5,5
半导体国产化,晶圆制造,成熟制程,大,华虹公司,688347,"特色工艺平台领军企业,功率/BCD/嵌入式非易失存储优势突出",5,5
半导体国产化,晶圆制造,成熟制程,大,华润微,688396,"功率半导体IDM龙头,车规级IGBT/MOSFET放量+产能扩张",5,5
半导体国产化,晶圆制造,成熟制程,中,晶合集成,688249,"显示驱动芯片代工龙头,差异化技术路线+产能快速爬坡",5,5
半导体国产化,晶圆制造,成熟制程,中,士兰微,600460,"功率半导体+MEMS传感器,IDM产能释放+汽车电子导入",5,4
半导体国产化,晶圆制造,成熟制程,中,扬杰科技,300373,"分立器件全球市占率领先,光伏/储能/车规二极管需求拉动",5,4
半导体国产化,晶圆制造,成熟制程,小,捷捷微电,300623,"晶闸管+防护器件龙头,车规级产品认证加速+产能扩张",5,4
半导体国产化,晶圆制造,成熟制程,小,苏州固锝,002079,"分立器件+半导体材料,光伏二极管+封装材料双轮驱动",5,4
半导体国产化,晶圆制造,先进封装,大,长电科技,600584,"全球第三/国内第一封测龙头,Chiplet/2.5D封装技术国际领先",5,5
半导体国产化,晶圆制造,先进封装,大,通富微电,002156,"AMD核心封测伙伴,高端处理器封装+CoWoS技术储备深厚",5,5
半导体国产化,晶圆制造,先进封装,大,华天科技,002185,"成本管控能力突出,车载/存储/射频封装快速放量",5,5
半导体国产化,晶圆制造,先进封装,中,晶方科技,603005,"晶圆级封装专精龙头,车载CIS封装+半导体光学双轮",5,4
半导体国产化,晶圆制造,先进封装,中,康强电子,002119,"引线框架+键合丝龙头,先进封装核心耗材国产替代加速",5,4
半导体国产化,晶圆制造,先进封装,中,气派科技,688216,"高密度QFN/DFN封装专精,功率模块+车规级封装突破",5,4
半导体国产化,晶圆制造,先进封装,小,伟测科技,688372,"第三方测试服务龙头,高端芯片测试产能扩张+客户绑定",5,4
半导体国产化,晶圆制造,先进封装,小,利扬芯片,688135,"独立测试服务商,晶圆测试+成品测试双轮驱动",5,4
半导体国产化,设备材料,刻蚀薄膜,大,北方华创,002371,"平台型设备龙头,刻蚀/薄膜/热处理全链条覆盖订单能见度高",5,5
半导体国产化,设备材料,刻蚀薄膜,大,中微公司,688012,"CCP刻蚀全球第一梯队,5nm产线验证通过技术壁垒极高",5,5
半导体国产化,设备材料,刻蚀薄膜,大,拓荆科技,688072,"PECVD/ALD国内产业化先锋,28/14nm产线批量供货",5,5
半导体国产化,设备材料,刻蚀薄膜,中,芯源微,688037,"涂胶显影设备专精龙头,前道工艺突破+国产替代加速",5,4
半导体国产化,设备材料,刻蚀薄膜,中,华海清科,688120,"CMP设备绝对龙头,12英寸逻辑/存储产线渗透率提升",5,4
半导体国产化,设备材料,刻蚀薄膜,中,万业企业,600641,"离子注入机国产突破者,凯世通技术背书+晶圆厂验证加速",5,4
半导体国产化,设备材料,刻蚀薄膜,小,新莱应材,300260,"高纯真空/流体控制部件,半导体+生物医药双领域核心供应商",5,4
半导体国产化,设备材料,刻蚀薄膜,小,富创精密,688409,"半导体设备精密零部件,全球设备厂商核心供应商产能扩张",5,4
半导体国产化,设备材料,刻蚀薄膜,小,正帆科技,688596,"电子特气+工艺介质系统,半导体+光伏+面板三领域布局",5,4
半导体国产化,设备材料,光刻硅片,大,沪硅产业,688126,"12英寸大硅片国产破冰者,产能爬坡+客户认证突破",5,5
半导体国产化,设备材料,光刻硅片,大,雅克科技,002409,"前驱体+光刻胶+电子特气平台,SK海力士/台积电核心供应商",5,5
半导体国产化,设备材料,光刻硅片,大,江丰电子,300666,"超高纯靶材龙头,铜/钽靶进入台积电/三星供应链",5,5
